"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Côte d'Ivoire","25 to 74 years","-","38.1783%","-","-","52.2114%","53.1122%","-","-"
"Côte d'Ivoire","75 years and older","-","22.4791%","-","-","9.69825%","12.5133%","-","-"
"Dem. Rep. of the Congo","Overview","11.7%","16.4812%","21.6422%","28.4193%","29.4996%","30.548%","-","-"
"Dem. Rep. of the Congo","14 years and younger","-","-","-","-","-","-","-","-"
"Dem. Rep. of the Congo","15 to 24 years","-","-","-","-","-","-","-","-"
"Dem. Rep. of the Congo","25 to 74 years","-","-","-","-","-","-","-","-"
"Dem. Rep. of the Congo","75 years and older","-","-","-","-","-","-","-","-"
"Equatorial Guinea","Overview","-","49.1337%","55.0013%","58.7173%","59.3433%","60.3661%","-","-"
"Equatorial Guinea","14 years and younger","-","-","-","-","-","-","-","-"
"Equatorial Guinea","15 to 24 years","-","-","-","-","-","-","-","-"
"Equatorial Guinea","25 to 74 years","-","-","-","-","-","-","-","-"
"Equatorial Guinea","75 years and older","-","-","-","-","-","-","-","-"
"Eritrea","Overview","5.3%","11.2%","14.3494%","18.3844%","18.7092%","20.0104%","-","-"
"Eritrea","14 years and younger","-","-","-","-","-","-","-","-"
"Eritrea","15 to 24 years","-","-","-","-","-","-","-","-"
"Eritrea","25 to 74 years","-","-","-","-","-","-","-","-"
"Eritrea","75 years and older","-","-","-","-","-","-","-","-"
"Eswatini","Overview","39.4%","43.9%","49.013%","53.9953%","57.465%","57.62%","-","-"
"Eswatini","14 years and younger","-","-","-","-","-","-","-","-"
"Eswatini","15 to 24 years","-","-","-","-","-","-","-","-"
"Eswatini","25 to 74 years","-","-","-","-","-","-","-","-"
"Eswatini","75 years and older","-","-","-","-","-","-","-","-"
"Ethiopia","Overview","15.9%","16%","16.0696%","16.6981%","-","-","-","-"
"Ethiopia","14 years and younger","-","-","-","-","-","-","-","-"
"Ethiopia","15 to 24 years","-","-","-","-","-","-","-","-"
"Ethiopia","25 to 74 years","-","-","-","-","-","-","-","-"
"Ethiopia","75 years and older","-","-","-","-","-","-","-","-"
"Fiji","Overview","58.2364%","63.2179%","68.6256%","74.4958%","78.2433%","79.3485%","-","-"
"Fiji","14 years and younger","-","-","-","-","-","-","-","-"
"Fiji","15 to 24 years","-","-","-","-","-","-","-","-"
"Fiji","25 to 74 years","-","-","-","-","-","-","-","-"
"Fiji","75 years and older","-","-","-","-","-","-","-","-"
"Gabon","Overview","55.4202%","59.5176%","63.9179%","68.6436%","70.7069%","71.9256%","-","-"
"Gabon","14 years and younger","-","-","-","-","-","-","-","-"
"Gabon","15 to 24 years","-","-","-","-","-","-","-","-"
"Gabon","25 to 74 years","-","-","-","-","-","-","-","-"
"Gabon","75 years and older","-","-","-","-","-","-","-","-"
"Gambia","Overview","28.3%","31.1183%","34.2172%","37.6247%","44.0389%","45.9137%","-","-"
"Gambia","14 years and younger","-","-","-","-","-","-","-","-"
"Gambia","15 to 24 years","-","-","-","-","-","-","-","-"
"Gambia","25 to 74 years","-","-","-","-","-","-","-","-"
"Gambia","75 years and older","-","-","-","-","-","-","-","-"
